OEM ID,OEM Code,OEM Name,Display Name,OEM Type,Status,Logo,Website,Description
O001,ATHER,Ather Energy Limited,Ather Energy,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=atherenergy.com&sz=256,https://www.atherenergy.com,Electric scooters and connected mobility.
O002,OLA,Ola Electric Mobility Limited,Ola Electric,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=olaelectric.com&sz=256,https://www.olaelectric.com,Electric scooters and motorcycles.
O003,TVS,TVS Motor Company Limited,TVS Motor,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=tvsmotor.com&sz=256,https://www.tvsmotor.com,Electric two-wheelers (iQube/Orbiter) and electric three-wheelers.
O004,BAJAJ,Bajaj Auto Limited,Bajaj Auto,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=bajajauto.com&sz=256,https://www.bajajauto.com,Chetak electric scooters and electric three-wheelers.
O005,HERO_MOTO,Hero MotoCorp Limited,VIDA,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=heromotocorp.com&sz=256,https://www.heromotocorp.com,Hero MotoCorp electric two-wheelers sold under the VIDA brand.
O006,HERO_ELECTRIC,Hero Electric Vehicles Private Limited,Hero Electric,Indian EV OEM,Inactive,https://www.google.com/s2/favicons?domain=heroelectric.in&sz=256,https://www.heroelectric.in,Legacy electric two-wheeler maker; company entered liquidation proceedings in 2026.
O007,AMPERE,Greaves Electric Mobility Private Limited,Ampere,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ampere.greaveselectricmobility.com&sz=256,https://www.ampere.greaveselectricmobility.com,Electric scooters under the Ampere brand.
O008,OKINAWA,Okinawa Autotech Private Limited,Okinawa,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=okinawascooters.com&sz=256,https://okinawascooters.com,Electric scooters.
O009,ZELIO,Zelio E-Mobility Limited,Zelio,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=zelioebikes.com&sz=256,https://zelioebikes.com,Electric scooters and Tanga electric three-wheelers.
O010,YAKUZA,Maa Luxmi E-Vehicles Private Limited,Yakuza,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=yakuzaev.com&sz=256,https://www.yakuzaev.com,Low-speed electric scooters and electric two-wheelers.
O011,LECTRIX,Lectrix EV Private Limited,Lectrix,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=lectrixev.com&sz=256,https://lectrixev.com,Electric scooters and fleet mobility solutions.
O012,IVOOMI,iVOOMi Energy Private Limited,iVOOMi,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ivoomi.co&sz=256,https://www.ivoomi.co,Electric scooters.
O013,JOY,Wardwizard Innovations & Mobility Limited,Joy e-bike,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=joyebike.com&sz=256,https://www.joyebike.com,Electric scooters and motorcycles.
O014,AMO,AMO Mobility Solutions Private Limited,AMO Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=amomobility.com&sz=256,https://amomobility.com,Electric scooters.
O015,BGAUSS,Dilli Electric Auto Private Limited,BGAUSS,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=bgauss.com&sz=256,https://bgauss.com,Electric scooters under the BGauss brand.
O016,KINETIC,Kinetic Green Energy & Power Solutions Limited,Kinetic Green,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=kineticgreen.com&sz=256,https://kineticgreen.com,"Electric two-wheelers and three-wheelers, including E-Luna and Safar ranges."
O017,PUREEV,PURE EV,PURE EV,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=pureev.in&sz=256,https://pureev.in,Electric scooters and motorcycles.
O018,RIVER,River Mobility Private Limited,River,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=rideriver.com&sz=256,https://www.rideriver.com,Utility electric scooters.
O019,SIMPLE,Simple Energy Private Limited,Simple Energy,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=simpleenergy.in&sz=256,https://www.simpleenergy.in,Electric scooters.
O020,ULTRAVIOLETTE,Ultraviolette Automotive Private Limited,Ultraviolette,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ultraviolette.com&sz=256,https://www.ultraviolette.com,Performance electric motorcycles.
O021,REVOLT,Revolt Intellicorp Private Limited,Revolt Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=revoltmotors.com&sz=256,https://www.revoltmotors.com,Electric motorcycles.
O022,MATTER,Matter Motor Works Private Limited,Matter,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=matter.in&sz=256,https://www.matter.in,Electric motorcycles.
O023,RAPTEE,Raptee Energy Private Limited,Raptee,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=raptee.com&sz=256,https://raptee.com,Electric motorcycles.
O024,TORK,Tork Motors Private Limited,Tork Motors,Indian EV OEM,Inactive,https://www.google.com/s2/favicons?domain=torkmotors.com&sz=256,https://www.torkmotors.com,Electric motorcycle maker; company entered corporate insolvency resolution proceedings in 2025.
O025,KABIRA,Kabira Mobility LLP,Kabira Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=kabiramobility.com&sz=256,https://www.kabiramobility.com,Electric scooters and motorcycles.
O026,QUANTUM,Quantum Energy Limited,Quantum Energy,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=quantumenergy.in&sz=256,https://quantumenergy.in,Electric scooters.
O027,NUMEROS,Numeros Motors Private Limited,Numeros Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=numerosmotors.com&sz=256,https://numerosmotors.com,Electric scooters.
O028,BNC,BNC Motors Private Limited,BNC Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=bncmotors.in&sz=256,https://www.bncmotors.in,Electric motorcycles and scooters.
O029,SOKUDO,Sokudo Electric India Private Limited,Sokudo,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=sokudoindia.com&sz=256,https://www.sokudoindia.com,Electric scooters.
O030,WARIVO,Warivo Motor India Private Limited,Warivo,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=warivomotors.com&sz=256,https://www.warivomotors.com,Electric scooters.
O031,TUNWAL,Tunwal E-Motors Limited,Tunwal,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=tunwal.com&sz=256,https://tunwal.com,Electric scooters and three-wheelers.
